"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-01 11:00:00,69959.25,59995.9885540097,65298.6219465764,65792.5341397916,66056.9503081582,66300.0391639943,66375.2916590706,66595.44958876,66652.9318918953,66742.6617048936,66865.6196002897,66954.4178091728,66960.2333723002,67023.0071400259,67244.3166391203,67326.1603863394,67421.7533941379,67449.6112796523,67513.3929170746,67560.8914947942,67595.8584315664,67636.0069580821,67738.0315318757,67807.9322273113,67842.2359636403,67923.4095722951,67982.978717126,68020.1756891361,68046.4847177572,68156.3486006352,68227.2867690544,68299.7742474194,68379.4110048433,68406.2960770586,68417.5908843106,68426.3326180796,68522.489633111,68592.8968970724,68646.720797261,68678.4238244494,68780.1134819638,68805.1973273021,68838.7293821285,68900.7626694361,68924.2617106306,68950.5662275158,68961.6837554073,68975.579271301,68996.3320472412,69031.4023022012,69149.3672374576,69217.9619352321,69259.7543917363,69281.4791151051,69301.3824274707,69372.9869427268,69445.9638617787,69483.4676504906,69515.6725169669,69643.7435255945,69710.7772296638,69761.2456774703,69808.3788382985,69814.750885781,69832.2930711425,69856.1758647243,69875.5201528368,69980.0544174885,69999.2477653811,70029.663211397,70124.9399979265,70261.4813563957,70288.069824899,70461.4175338867,70541.1455013724,70664.5817001491,70773.9644614533,70903.1964984103,70994.5944577379,71085.4753348023,71111.219514551,71351.7091529904,71520.1923945985,71671.3658113037,71806.2416110151,71923.843391275,72433.0528189196,72669.3923353191,72990.5900477691,73408.5419040929,75272.5608060223
2016-07-02 11:00:00,58278.25,50610.8848951631,55913.5182877298,56407.430480945,56671.8466493116,56914.9355051477,56990.188000224,57210.3459299134,57267.8282330487,57357.558046047,57480.5159414431,57569.3141503261,57575.1297134536,57637.9034811793,57859.2129802737,57941.0567274928,58036.6497352913,58064.5076208057,58128.289258228,58175.7878359476,58210.7547727198,58250.9032992355,58352.9278730291,58422.8285684647,58457.1323047937,58538.3059134485,58597.8750582794,58635.0720302895,58661.3810589106,58771.2449417886,58842.1831102078,58914.6705885728,58994.3073459967,59021.192418212,59032.487225464,59041.228959233,59137.3859742644,59207.7932382258,59261.6171384144,59293.3201656028,59395.0098231172,59420.0936684555,59453.6257232819,59515.6590105895,59539.158051784,59565.4625686692,59576.5800965607,59590.4756124544,59611.2283883946,59646.2986433546,59764.263578611,59832.8582763855,59874.6507328897,59896.3754562585,59916.2787686241,59987.8832838802,60060.8602029321,60098.363991644,60130.5688581203,60258.6398667479,60325.6735708172,60376.1420186237,60423.2751794519,60429.6472269344,60447.1894122959,60471.0722058777,60490.4164939902,60578.8212306701,60606.1767317666,60616.7087454795,60715.163161693,60806.9092410763,60902.9661660524,61076.3138750401,61156.0418425258,61279.4780413025,61388.8608026067,61518.0928395637,61609.4907988913,61700.3716759557,61726.1158557044,61966.6054941438,62135.0887357519,62286.2621524571,62421.1379521685,62538.7397324284,63047.949160073,63284.2886764725,63605.4863889225,64023.4382452463,65887.4571471757
2016-07-03 11:00:00,50776,45495.7198042198,50798.3531967865,51292.2653900017,51556.6815583683,51799.7704142044,51875.0229092807,52095.1808389701,52152.6631421054,52242.3929551037,52365.3508504998,52454.1490593828,52459.9646225103,52522.738390236,52744.0478893304,52825.8916365495,52921.484644348,52949.3425298624,53013.1241672847,53060.6227450043,53095.5896817765,53135.7382082922,53195.4715161561,53272.6963938884,53320.0990307607,53366.8115032126,53443.084815624,53509.9599211764,53526.8184245792,53596.394747492,53694.4949747701,53759.1517710943,53842.7144065202,53896.7072345047,53913.9137502229,53919.117949538,53953.9718185292,54063.559399263,54116.2336523852,54165.2286381345,54227.1344869441,54297.7870409405,54323.251512547,54364.5441488536,54419.3305425419,54437.0297869636,54453.3562499242,54467.3967129889,54484.8883290783,54513.2175179029,54576.1094793411,54698.018575042,54736.634419254,54775.4166945224,54790.3908993679,54832.0977704781,54912.1321433214,54956.8397078003,55002.9071649178,55061.624752804,55166.8009138768,55232.181315258,55295.8419809074,55311.1681440309,55320.9507124604,55353.3036828266,55358.612315265,55429.5719284925,55479.6573845845,55498.9708089468,55528.4145788721,55623.9712080115,55762.0475248769,55829.4476565904,55971.9371511908,56150.9588749651,56198.544967564,56322.4285467298,56474.2593248642,56548.2543838246,56600.1509658332,56671.3557260807,56923.1655481757,57131.9300731945,57217.693552794,57401.5918842966,57656.3131603567,58084.3341400114,58242.528098788,58631.7348160588,60586.0903470252
2016-07-04 11:00:00,68712.25,57737.91263976,62974.2231227358,63370.786109152,63626.2059984058,63988.2697092362,64079.5212569763,64144.2233010336,64380.9025201762,64465.6888804564,64526.2586979131,64661.0333929491,64701.0999973116,64729.6274462529,64852.3258671505,65052.5643743492,65141.6179746555,65185.9623478187,65207.7501325409,65284.2010813401,65322.4065904874,65366.0900605707,65398.9760459964,65479.4923552876,65549.465158356,65583.8520448491,65664.5803452437,65724.3000231459,65762.0206704479,65788.1345967545,65897.6306604529,65968.8372953965,66041.2059755211,66120.9745686843,66148.1186074597,66159.5026325336,66168.1480304938,66263.4596888585,66334.3714096859,66388.1690319697,66420.1093381187,66521.6141849914,66546.9950971187,66580.573001558,66642.3615295079,66666.1832390082,66692.4767403939,66703.4843664265,66717.330826216,66738.0343815359,66773.0806532176,66890.4907264839,66959.6775324786,67001.3765938319,67023.2592915368,67043.0779796719,67114.5738720377,67187.883078537,67225.1525386458,67257.5414183284,67385.5885063033,67452.4563642085,67502.6827111911,67550.2599126387,67556.5880622904,67573.8942260215,67598.0586440195,67616.7808167228,67705.6541882038,67733.0900848643,67743.6452815706,67842.0484443648,67933.033481011,68029.8659596625,68203.3325757067,68281.6076862466,68406.2282241223,68515.4097472766,68644.2200856944,68735.8949114105,68827.2196852563,68852.6545557112,69092.8627002606,69260.7920659484,69412.809166431,69547.0329662558,69663.2126042347,70173.2584238385,70410.5679713154,70730.9681615191,71131.6344213763
2016-07-05 11:00:00,70952.5,60769.929027046,66006.2395100218,66402.802496438,66658.2223856918,67020.2860965222,67111.5376442623,67176.2396883196,67412.9189074622,67497.7052677424,67558.2750851991,67693.0497802351,67733.1163845976,67761.6438335389,67884.3422544365,68084.5807616352,68173.6343619415,68217.9787351047,68239.7665198269,68316.2174686261,68354.4229777734,68398.1064478567,68430.9924332824,68511.5087425737,68581.481545642,68615.8684321351,68696.5967325297,68756.3164104319,68794.0370577339,68820.1509840405,68929.6470477389,69000.8536826825,69073.2223628071,69152.9909559703,69180.1349947457,69191.5190198196,69200.1644177798,69295.4760761445,69366.3877969719,69420.1854192557,69452.1257254047,69553.6305722774,69579.0114844047,69612.589388844,69674.3779167939,69698.1996262942,69724.4931276799,69735.5007537125,69749.347213502,69770.0507688219,69805.0970405036,69922.5071137699,69991.6939197646,70033.3929811179,70055.2756788228,70075.0943669579,70146.5902593237,70219.899465823,70257.1689259318,70289.5578056144,70417.6048935893,70484.4727514945,70534.6990984771,70582.2762999247,70588.6044495764,70605.9106133075,70630.0750313055,70648.7972040088,70737.6705754898,70765.1064721503,70775.6616688566,70874.0648316508,70965.049868297,71061.8823469485,71235.3489629927,71313.6240735326,71438.2446114083,71547.4261345626,71675.9209064005,71748.3152250484,71822.0231588327,71874.2924348039,71943.4368094955,72196.3401567698,72405.7137400769,72579.0493535418,72695.2289915207,73205.2748111245,73442.5843586014,73762.9845488051,74163.6508086623
2016-07-06 11:00:00,71140,61441.3730365957,66677.6835195715,67074.2465059877,67329.6663952415,67691.7301060719,67782.981653812,67847.6836978693,68084.3629170119,68169.1492772921,68229.7190947488,68364.4937897848,68404.5603941473,68433.0878430886,68555.7862639862,68756.0247711849,68845.0783714912,68889.4227446544,68911.2105293766,68987.6614781758,69025.8669873231,69069.5504574064,69102.4364428321,69182.9527521234,69252.9255551917,69287.3124416848,69368.0407420794,69427.7604199816,69465.4810672836,69491.5949935902,69601.0910572885,69672.2976922322,69744.6663723568,69824.43496552,69851.5790042954,69862.9630293693,69871.6084273295,69966.9200856942,70037.8318065216,70091.6294288054,70123.5697349544,70225.0745818271,70250.4554939544,70284.0333983937,70345.8219263436,70369.6436358439,70395.9371372296,70406.9447632622,70420.7912230517,70441.4947783716,70476.5410500533,70593.9511233196,70663.1379293143,70704.8369906676,70726.7196883725,70746.5383765076,70818.0342688734,70891.3434753727,70928.6129354815,70961.0018151641,71089.048903139,71155.9167610442,71206.1431080268,71253.7203094744,71260.0484591261,71277.3546228572,71301.5190408552,71320.2412135585,71409.1145850395,71436.5504817,71447.1056784063,71545.5088412005,71620.2912198732,71707.3768338988,71773.2989939422,71916.9946094383,72096.4932661815,72143.3038743452,72267.2000619192,72416.0016890632,72438.7316761686,72530.5003467956,72555.6259079568,72795.5525586162,72962.9280483836,73128.3245153344,73366.6730010704,73876.7188206742,74114.028368151,74434.4285583548,74835.094818212
2016-07-07 11:00:00,69126.25,60490.1251311403,65726.4356141161,66122.9986005323,66378.4184897861,66740.4822006165,66831.7337483566,66896.4357924139,67133.1150115565,67217.9013718367,67278.4711892934,67413.2458843294,67453.3124886919,67481.8399376332,67604.5383585308,67804.7768657295,67893.8304660358,67938.174839199,67959.9626239212,68036.4135727204,68074.6190818677,68118.302551951,68151.1885373767,68231.704846668,68301.6776497363,68336.0645362294,68416.792836624,68476.5125145262,68514.2331618282,68540.3470881348,68649.8431518331,68721.0497867768,68793.4184669014,68873.1870600646,68900.33109884,68911.7151239139,68920.3605218741,69015.6721802388,69086.5839010662,69140.38152335,69172.321829499,69273.8266763717,69299.207588499,69332.7854929383,69394.5740208882,69418.3957303885,69444.6892317742,69455.6968578068,69469.5433175963,69490.2468729162,69525.2931445979,69642.7032178642,69711.8900238589,69753.5890852122,69775.4717829171,69795.2904710522,69866.786363418,69940.0955699173,69977.3650300261,70009.7539097087,70137.8009976836,70191.5767840648,70226.3541167434,70290.0695533649,70305.5594942337,70315.3192507033,70347.6854795275,70353.0168309556,70423.5383103128,70473.934428391,70493.3679292229,70521.8400230577,70617.676494807,70688.0459905955,70781.9505000561,70955.5360231567,71032.3582767508,71158.1631537255,71267.1434387298,71395.2407863809,71468.3580065008,71541.7788151089,71594.4207850428,71661.5047741785,71915.5016466321,72125.4842882274,72395.918934506,72647.6036209444,73077.799287087,73234.1702974905,73623.4561519533
2016-07-08 11:00:00,69831,59668.9445218567,64905.2550048325,65301.8179912487,65557.2378805024,65919.3015913329,66010.553139073,66075.2551831303,66311.9344022729,66396.7207625531,66457.2905800098,66592.0652750458,66632.1318794083,66660.6593283496,66783.3577492472,66983.5962564459,67072.6498567521,67116.9942299154,67138.7820146376,67215.2329634368,67253.4384725841,67297.1219426674,67330.0079280931,67410.5242373844,67480.4970404527,67514.8839269458,67595.6122273404,67655.3319052426,67693.0525525446,67719.1664788512,67828.6625425495,67899.8691774932,67972.2378576178,68052.006450781,68079.1504895564,68090.5345146303,68099.1799125905,68194.4915709552,68265.4032917826,68300.5210775097,68338.4400047891,68399.5812614217,68470.9916185802,68496.2079856584,68537.2958679272,68592.4520278656,68609.9735415195,68626.5265677178,68640.6145699499,68658.0788872196,68686.2872319544,68748.5309061252,68871.0210363995,68909.6461030418,68948.6352778822,68963.5736348382,69004.8046191943,69084.7605653521,69129.7446627237,69175.9478219093,69233.5050863448,69336.5990406831,69383.2432950997,69433.2275412583,69481.2487833253,69487.5330351462,69504.6031772468,69529.0492196611,69547.1492769553,69636.4912832373,69664.0075754618,69674.5859551615,69772.9378645363,69847.8119719442,69934.6243958059,69999.0685841791,70143.970320571,70323.945910283,70369.9810340116,70493.8898299936,70643.5488999719,70665.6795293519,70773.2401757592,70840.3241648949,71094.3210373484,71304.3036789437,71574.7383252224,71826.4230116608,72256.6186778034,72412.9896882069,72802.2755426697
2016-07-09 11:00:00,57518.25,50543.3261813927,55779.6366643685,56176.1996507847,56431.6195400384,56793.6832508689,56884.934798609,56949.6368426663,57186.3160618089,57271.1024220891,57331.6722395458,57466.4469345818,57506.5135389443,57535.0409878856,57657.7394087832,57857.9779159819,57947.0315162882,57991.3758894514,58013.1636741736,58089.6146229728,58127.8201321201,58171.5036022034,58204.3895876291,58284.9058969203,58354.8786999887,58389.2655864818,58469.9938868764,58529.7135647785,58567.4342120806,58593.5481383872,58703.0442020855,58774.2508370292,58846.6195171538,58926.388110317,58953.5321490924,58964.9161741663,58973.5615721265,59068.8732304912,59139.7849513186,59174.9027370457,59212.8216643251,59273.9629209577,59345.3732781162,59370.5896451944,59411.6775274631,59466.8336874016,59484.3552010556,59500.9082272538,59514.9962294859,59532.4605467556,59560.6688914904,59622.9125656612,59745.4026959355,59784.0277625778,59823.0169374182,59837.9552943742,59879.1862787303,59959.1422248881,60004.1263222597,60050.3294814453,60107.8867458808,60210.9807002191,60257.6249546357,60307.6092007943,60355.6304428613,60361.9146946822,60378.9848367828,60403.430879197,60421.5309364913,60513.6951712828,60546.5689794753,60575.0410733101,60667.558020708,60722.1936314802,60809.0060553419,60873.4502437151,61018.3519801069,61198.327569819,61244.3626935476,61368.2714895296,61517.9305595079,61540.0611888879,61647.6218352952,61714.7058244309,61968.7026968844,62178.6853384798,62449.1199847584,62700.8046711968,63131.0003373394,63287.3713477429,63676.6572022057
2016-07-10 11:00:00,51765.75,45064.2446756724,50300.5551586482,50697.1181450644,50952.5380343181,51314.6017451486,51405.8532928887,51470.555336946,51707.2345560886,51792.0209163688,51852.5907338255,51987.3654288615,52027.432033224,52037.6634422147,52090.8690387723,52311.0278682824,52394.3283674011,52489.9207903613,52517.8568655469,52581.0516021324,52628.955531239,52663.9612378177,52704.2020995625,52763.5270164913,52840.8574147475,52888.5725739296,52935.0719476899,53011.5925921062,53078.3038913657,53095.2674918192,53164.2341190988,53262.6953155362,53327.3278597205,53410.7656199764,53465.1281701236,53482.3590585803,53487.6182435069,53522.0584284641,53631.9547626445,53684.6269898936,53718.6901534627,53746.20280195,53847.5228381811,53873.2008170973,53906.8245711495,53968.3683397418,53992.5127175478,54018.7952034341,54029.6929276078,54043.4903312931,54064.1446659928,54099.1669543961,54216.0221656723,54285.8010798872,54327.4067460895,54349.4474181305,54369.1814820351,54440.5687515107,54514.2102454574,54551.2453769631,54583.818269852,54711.8414371742,54765.6021722795,54800.2411358405,54864.0113434339,54879.665062048,54889.4020065578,54921.7814938399,54927.1355642578,54997.2189097446,55059.3077292775,55069.8861089772,55168.238018352,55229.4449663591,55261.3127636553,55355.9420936014,55529.6465237585,55605.0159204068,55732.0051364804,55840.7841833349,55968.4841067991,56048.5605491677,56168.5403295749,56235.6243187106,56489.6211911641,56699.6038327595,56970.0384790381,57221.7231654765,57651.9188316191,57808.2898420226,58197.5756964854
